PostNumber,SymptomName,PostLink,Title,Author,Total_Replies,Total_Weight
1.0,"['Sexually Transmitted Diseases', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/live-science-official-community-rules.4256/,covid vaccines and neuropathy,cue @cue,146,7350.0
2.0,"['Multi-infarct dementia', 'Subacute thyroiditis', 'Communicable Diseases', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Influenza', 'Cancer-Associated Retinopathy', 'Coronavirus Infections', 'Acute gastroenteritis', 'Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Infantile Neuroaxonal Dystrophy', 'Total Hypotrichosis, Mari type', ""Little's Disease"", 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Disease', 'Severe diarrhea', 'Fatigue', 'Headache', 'Pain', 'Chest pressure', 'Stomach ache', 'Anosmia', 'Cardiovascular symptoms', 'Nausea', 'Influenza-like symptoms', 'Diarrhea and vomiting, symptom', 'Chest pain on breathing', 'Has tingling sensation', 'Congestion of throat', 'Coughing', 'Sharp pain', 'Clouded consciousness', 'Ache', 'Tired', 'Rhinorrhea', 'Actual Inability To Taste', 'Agonizing Pain', 'gastrointestinal gas', 'Chest tightness', 'Dry cough', 'Dyspnea', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/what-are-the-symptoms-of-the-coronavirus.1121/,lets go walking! join me for a virtual walking support group,"becky, volunteer mentor @becsbuddy",300,15025.0
3.0,"['Communicable Diseases', 'Heart Diseases', 'Severe Acute Respiratory Syndrome', 'Bilateral pneumonia', 'Pneumonia', 'Common Cold', 'pneumonia clinical', 'Influenza', 'Lung diseases', 'Septicemia', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/how-does-the-new-coronavirus-compare-with-the-flu.739/,to vaccinate or not to vaccinate? that is the question.,silverwoman @silverwoman,300,15016.666666666666
4.0,"['Infantile Neuroaxonal Dystrophy', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Sudden infant death syndrome', 'Feline infectious peritonitis', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/are-gilead-trump-officials-and-the-nih-blocking-covid-19-treatment-research-on-gs-441524-to-allow-more-expensive-remdesivir-to-proceed.3451/,pmr and corona virus (covid-19) vaccine,ncgal @ncgal,292,14612.5
5.0,"['Communicable Diseases', 'Coronavirus Infections']",https://forums.livescience.com/threads/temperature-taking-in-the-workplace-what-should-be-the-frequency.3949/,what's outside of your picture window today?,"john, volunteer mentor @johnbishop",134,6710.0
6.0,"['Pneumonia', 'Tuberculosis', 'Coronavirus Infections', 'nan']",https://forums.livescience.com/threads/theory-for-possible-cure-for-covid-19.1531/,covid-19 and transplant patients,jolinda @jolinda,300,15008.333333333334
7.0,"['Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Blindness of one eye (disorder)', 'Macrophage Activation Syndrome', 'Syndrome', 'Bubonic Plague', 'Coronavirus Infections', 'Disease', 'Mass of body region', 'Sighing respiration', 'Muscle Cramp', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/do-you-think-this-out-of-the-box-solution-can-stop-the-pandemic-in-14-days.1601/,hydroxicloriquine-lupus-prednisone & covid19 vaccine?,darlia @darlia,12,607.1428571428571
8.0,"['Specific viral infections', 'reproductive system disorder', 'Communicable Diseases', 'Common Cold', 'Influenza', 'Respiration Disorders', 'Pyotraumatic dermatitis', 'Coronavirus Infections', 'Weakness', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/an-alternative-to-vaccination-for-covid-19.2726/,aiha hemolytic autoimmune anemia and covid-19 vaccine reactions,gailiebird @gailiebird,10,506.25
9.0,"['Pneumonia', 'Influenza', 'Coronavirus Infections']",https://forums.livescience.com/threads/indications-sars-cov-2-was-present-earlier-than-thought.2924/,doc's office postponed mammogram,fiesty76 @fiesty76,12,605.5555555555555
10.0,"['Poliomyelitis', 'Heparin-induced thrombocytopenia', 'Influenza', 'Influenza due to Influenza A virus subtype H1N1', 'West Nile viral infection', 'Myelitis', 'Upper Respiratory Infections', 'Coronavirus Infections', 'Rhinorrhea', 'Myalgia', 'Weakness', 'Headache', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/why-are-children-missing-from-coronavirus-outbreak-cases.809/,vaccine efficacy for those with chronic anxiety and mental illness,tykehome @tykehome,24,1205.0
11.0,"['nan', 'nan', 'nan']",https://forums.livescience.com/threads/shower.1599/,are there medicines that should be paused before covid vaccine?,olduncledave @olduncledave,20,1004.5454545454545
12.0,"['Coronavirus Infections', 'Disease', 'Clouded consciousness']",https://forums.livescience.com/threads/confusion-and-chaos-surround-coronavirus-testing-in-the-us.1264/,covid-19 and feeling helpless,marjou @marjou,28,1404.1666666666667
13.0,"['Coronavirus Infections', 'Seizures', 'Clouded consciousness', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/testing.1282/,should mayo patients report their vaccine to mayo?,laurie @roch,6,303.84615384615387
14.0,"['Communicable Diseases', 'Infantile Neuroaxonal Dystrophy', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/vaccine-from-live-virus.2638/,help find a vaccine for covid-19,"merry, volunteer mentor @merpreb",58,2903.5714285714284
15.0,"['Communicable Diseases', 'Heart Diseases', 'Abortion, Habitual', 'Common Cold', 'Critical Illness', 'Respiratory Distress Syndrome, Adult', 'Influenza', 'Pemphigus and fogo selvagem', 'Cardiac Arrest', 'Coronavirus Infections', 'Virus Diseases', 'Long QT Syndrome', 'Vesicle (morphologic abnormality)', 'Sepsis', 'Bacteremia', 'Mannose-Binding Protein Deficiency', 'Severe Acute Respiratory Syndrome', 'Autoimmune Diseases', 'Inflammatory disorder', 'Diabetes Mellitus', 'Asthma', 'Disease', 'Single organ dysfunction', 'Diarrhea', 'Catch - Finding of sensory dimension of pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/how-to-prevent-development-of-severe-covid-19-disease.2813/,covid vaccine re-prioritization in california - type 2 diabetes,yakoubou @yakoubou,4,203.33333333333334
16.0,"['Mumps', 'Immune System Diseases', 'Influenza', 'Measles', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/the-hitchhickers-guide-to-immunity.2783/,83 yr old mom all alone,beast66 @beast66,36,1803.125
17.0,"['Infantile Neuroaxonal Dystrophy', 'Pharyngitis', 'Coronavirus Infections', 'Sore Throat', 'Coughing', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/i-am-to-start-teaching-english-conversation-classes-soon-what-can-i-do.1464/,mesenteric panniculitis and the covid vaccine,beckymel @beckymel,2,102.94117647058823
18.0,"['Coronavirus Infections', 'nan']",https://forums.livescience.com/threads/do-the-catechins-in-green-tea-act-as-a-natural-antiviral-against-covid-19.2753/,"new information on (clear) masks, for people with hearing loss",arrowshooter @arrowshooter,42,2102.777777777778
19.0,"['Coronavirus Infections', 'nan', 'nan']",https://forums.livescience.com/threads/us-hospitals-are-already-starting-to-run-out-of-respirator-masks-crucial-for-coronavirus-protection.1253/,covid-19 vaccination & epilepsy,fbutterw20 @fbutterw20,6,302.63157894736844
20.0,"['Communicable Diseases', 'Digitorenocerebral Syndrome', 'Influenza', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/school-closures.1937/,how long will i continue to test positive?,zrkat21 @zrkat21,10,502.5
