PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
1,https://patient.info//forums/discuss/i-ve-had-loads-of-neurological-symptoms-since-covid-anyone-had-the-same--756542,covid vaccines and neuropathy,cue @cue,146,7350,"['Neuropathy', 'Ache', 'Muscular fasciculation', 'Feeling strange', 'Neurologic Symptoms', 'Fatigue', 'Has tingling sensation', 'Myalgia', 'Weakness', 'Tremor', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, 'Isolation procedure', None, None, None, None, None, None]",[None]
2,https://patient.info//forums/discuss/covid-symptoms-753523,lets go walking! join me for a virtual walking support group,"becky, volunteer mentor @becsbuddy",300,15025,"['Ache', 'Diarrhea', 'Headache', 'Weakness', 'Syncope', 'Cold sweat', 'Pain', None]","[None, None, None, None, None, None, None, None]",[None]
3,https://patient.info//forums/discuss/covid-for-4-weeks-still-bed-ridden-anyone-else-had-prolonged-severe-illness-without-hospitalization-734070,to vaccinate or not to vaccinate? that is the question.,silverwoman @silverwoman,300,15016.66667,"['Communicable Diseases', 'Fish-Eye Disease', 'Coronavirus Infections', 'Excessive tearing', 'Anorexia', 'Gastroparesis', 'asthma with copd', 'Other viral diseases NOS', 'Asthma', 'Secondary Infections', 'Recurrent disease', 'Gray Platelet Syndrome', 'Oral Ulcer', 'BESTROPHINOPATHY, AUTOSOMAL RECESSIVE', 'Gastroesophageal reflux disease', 'Pneumonia', 'Pharyngitis', 'Common Cold', 'Influenza', 'Narcolepsy', 'Bacterial Infections', 'Xerostomia', 'Neuropathy', 'Tennis Elbow', 'Deglutition Disorders', 'Malnutrition', 'Disease', 'Seizures', 'Diarrhea', 'Feeling nervous', 'Fatigue', 'Burning sensation', 'Headache', 'Flushing', 'Pain', 'Muscle Cramp', 'Breathing abnormally deep', 'Exhaustion', 'Numbness', 'Neck Pain', 'Neurologic Symptoms', 'Feeling Cold', 'Nausea', 'Has tingling sensation', 'Coughing', 'Sharp pain', 'Nightmares', 'Ache', 'Chest Pain', 'Tired', 'BODY ACHE', 'Overweight', 'Myalgia', 'Syncope', 'Back Pain', 'Nervousness', 'Illness (finding)', 'Difficulty sleeping', 'Hunger', 'Dizziness', 'Sore Throat', 'Dry cough', 'Weakness', 'Lethargy', 'Hot flushes', 'Dyspnea', 'Chills', 'Sore to touch', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Physical therapy exercises', 'DRUGS', 'Quarantine', 'Incision and drainage', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Special Diet Therapy', 'Dietary Modification', 'Therapeutic procedure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[None]
4,https://patient.info//forums/discuss/painful-mouth-throat-post-covid-756606,pmr and corona virus (covid-19) vaccine,ncgal @ncgal,292,14612.5,"['Coughing', 'Earache', 'Pharyngeal dryness', None, None]","[None, None, None, None, None]",[None]
5,https://patient.info//forums/discuss/possible-symptoms-of-dvt-or-just-a-bad-coincidence-756696,what's outside of your picture window today?,"john, volunteer mentor @johnbishop",134,6710,"['Deep Vein Thrombosis', 'Pain in calf', 'Sensation of warmth', 'Pain', None, None, None, None, None]","[None, None, None, None, 'Coagulation procedure', 'Therapeutic tactile stimulation', None, None, None]",[None]
6,https://patient.info//forums/discuss/tested-positive-on-28th-dec-20-my-symptoms-etc-753995,covid-19 and transplant patients,jolinda @jolinda,300,15008.33333,"['Urinary tract infection', 'Hay fever', 'Influenza', 'Chronic Obstructive Airway Disease', 'Pityriasis Rosea', 'Septicemia', 'Disease', 'BODY ACHE', 'Tired', 'Exanthema', 'Upset stomach', 'Throat symptom', 'Headache', 'Pain', 'Ageusia', 'Stomach ache', 'Illness (finding)', 'Nausea', 'Hunger', 'Coughing', 'Sharp pain', 'Dyspnea', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Isolation procedure', None, None, None, None]",[None]
7,https://patient.info//forums/discuss/post-covid-symptoms-756689,hydroxicloriquine-lupus-prednisone & covid19 vaccine?,darlia @darlia,12,607.1428571,"['Anorexia', 'Ear symptom', 'Fatigue', 'Burning sensation', 'Myalgia', 'Headache', 'Pain', 'Earache', 'Sleeplessness']","[None, None, None, None, None, None, None, None, None]",['Sleeplessness']
8,https://patient.info//forums/discuss/day-10-nausea-and-headache-756678,aiha hemolytic autoimmune anemia and covid-19 vaccine reactions,gailiebird @gailiebird,10,506.25,"['Ageusia', 'Ache', 'Feeling Sick', 'Nausea', 'Headache', 'Coughing', 'Dyspnea']","[None, None, None, None, None, None, None]",['Dyspnea']
9,https://patient.info//forums/discuss/moderna-2-doses-my-reactions-756664,doc's office postponed mammogram,fiesty76 @fiesty76,12,605.5555556,"['Ache', 'Tired', 'Fatigue', 'Pain', 'Arm Pain', 'Sore to touch', 'Chills', None]","[None, None, None, None, None, None, None, None]",[None]
10,https://patient.info//forums/discuss/no-appetite-and-sleeping-all-day-so-so-tired-754115,vaccine efficacy for those with chronic anxiety and mental illness,tykehome @tykehome,24,1205,"['Van der Woude syndrome', 'Common Cold', 'Dehydration', 'Fibromyalgia', 'Ache', 'Tired', 'Fatigue', 'Cough with fever', 'Myalgia', 'Headache', 'Weakness', 'Earache', 'spells (neurological symptom)', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, 'Injection of therapeutic agent', None, None]",[None]
